Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
Ashanti Region Cocoa Project,P000849,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P000849,1975-12-23T00:00:00Z,,,,,
Rangelands Development Project,P000689,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,,https://projects.worldbank.org/en/projects-operations/project-detail/P000689,1975-12-23T00:00:00Z,,,,,
Livestock Project,P003344,East Asia and Pacific,Closed,Republic of the Union of Myanmar,,https://projects.worldbank.org/en/projects-operations/project-detail/P003344,1975-12-23T00:00:00Z,,,,,
National Maize Project,P002700,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P002700,1975-12-23T00:00:00Z,,,,,
Agricultural Development Project,P010090,South Asia,Closed,Democratic Socialist Republic of Sri Lan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010090,1975-12-11T00:00:00Z,,,,,
Maradi Rural Development Project (01),P001942,Western and Central Africa,Closed,Republic of Niger,,https://projects.worldbank.org/en/projects-operations/project-detail/P001942,1975-12-11T00:00:00Z,,,,,
Rio Grande do Norte Rural Development Project,P006268,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P006268,1975-12-11T00:00:00Z,,,,,
Coffee Improvement Project (02),P000171,Eastern and Southern Africa,Closed,Republic of Burundi,,https://projects.worldbank.org/en/projects-operations/project-detail/P000171,1975-11-18T00:00:00Z,,,,,
Lake Chad Polders Irrigation Project,P000490,Western and Central Africa,Closed,Republic of Chad,,https://projects.worldbank.org/en/projects-operations/project-detail/P000490,1975-11-11T00:00:00Z,,,,,
Flood Recovery Project,P008696,Europe and Central Asia,Closed,Romania,,https://projects.worldbank.org/en/projects-operations/project-detail/P008696,1975-11-04T00:00:00Z,,,,,
Integrated Dairy Development Project (02),P004065,East Asia and Pacific,Closed,Republic of Korea,,https://projects.worldbank.org/en/projects-operations/project-detail/P004065,1975-10-28T00:00:00Z,,,,,
Livestock Development Project (05),P008120,Latin America and Caribbean,Closed,Oriental Republic of Uruguay,,https://projects.worldbank.org/en/projects-operations/project-detail/P008120,1975-10-07T00:00:00Z,,,,,
East Vermion Irrigation Project,P008428,Europe and Central Asia,Closed,Hellenic Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P008428,1975-08-19T00:00:00Z,,,,,
TARBELA DAM SUPPLEME,P010089,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010089,1975-07-22T00:00:00Z,,,,,
Upper Lofa Agriculture Development Project,P001421,Western and Central Africa,Closed,Republic of Liberia,,https://projects.worldbank.org/en/projects-operations/project-detail/P001421,1975-07-22T00:00:00Z,,,,,
Magat River Multipurpose Project,P004439,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004439,1975-07-22T00:00:00Z,,,,,
Phitsanulok Irrigation Project,P004684,East Asia and Pacific,Closed,Kingdom of Thailand,,https://projects.worldbank.org/en/projects-operations/project-detail/P004684,1975-07-15T00:00:00Z,,,,,
Terres Neuves Resettlement Project (02),P002292,Western and Central Africa,Closed,Republic of Senegal,,https://projects.worldbank.org/en/projects-operations/project-detail/P002292,1975-07-08T00:00:00Z,,,,,
Dairy Development Project,P002699,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P002699,1975-07-01T00:00:00Z,,,,,
RAHAD IRRIG. II,P002564,Eastern and Southern Africa,Closed,Republic of the Sudan,,https://projects.worldbank.org/en/projects-operations/project-detail/P002564,1975-06-26T00:00:00Z,,,,,
Cordoba Agricultural Development Project (02),P006739,Latin America and Caribbean,Closed,Republic of Colombia,,https://projects.worldbank.org/en/projects-operations/project-detail/P006739,1975-06-26T00:00:00Z,,,,,
Pineapple Development Project,P001021,Western and Central Africa,Closed,Republic of Guinea,,https://projects.worldbank.org/en/projects-operations/project-detail/P001021,1975-06-26T00:00:00Z,,,,,
Technical Assistance Project,P004880,Middle East and North Africa,Closed,People's Democratic Republic of Algeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P004880,1975-06-26T00:00:00Z,,,,,
Agricultural Credit Project,P006120,Latin America and Caribbean,Closed,Plurinational State of Bolivia,,https://projects.worldbank.org/en/projects-operations/project-detail/P006120,1975-06-19T00:00:00Z,,,,,
Forestry Project (02),P001244,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P001244,1975-06-19T00:00:00Z,,,,,
East Central State Oil Palm Project,P002030,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002030,1975-06-17T00:00:00Z,,,,,
Western State Oil Palm Project,P002029,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002029,1975-06-17T00:00:00Z,,,,,
Corum Cankiri Rural Development Project,P008908,Europe and Central Asia,Closed,Republic of Turkiye,,https://projects.worldbank.org/en/projects-operations/project-detail/P008908,1975-06-17T00:00:00Z,,,,,
Mid Western States Oil Palm Project,P002031,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002031,1975-06-17T00:00:00Z,,,,,
Chambal Command Area Development Project,P009690,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009690,1975-06-17T00:00:00Z,,,,,
Lower Sao Francisco Polders Project,P006263,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P006263,1975-06-09T00:00:00Z,,,,,
Meknes Agriculture Development Project,P005369,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P005369,1975-06-05T00:00:00Z,,,,,
Agriculture Credit Project,P009161,Europe and Central Asia,Closed,Socialist Federal Republic of Yugoslavia,,https://projects.worldbank.org/en/projects-operations/project-detail/P009161,1975-06-05T00:00:00Z,,,,,
Niete Rubber Estate Project,P000327,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P000327,1975-06-03T00:00:00Z,,,,,
Livestock Development Project,P000250,Western and Central Africa,Closed,Burkina Faso,,https://projects.worldbank.org/en/projects-operations/project-detail/P000250,1975-05-27T00:00:00Z,,,,,
Caqueta Rural Settlement Project (02),P006738,Latin America and Caribbean,Closed,Republic of Colombia,,https://projects.worldbank.org/en/projects-operations/project-detail/P006738,1975-05-22T00:00:00Z,,,,,
Sine Saloum Agricultural Development Project,P002289,Western and Central Africa,Closed,Republic of Senegal,,https://projects.worldbank.org/en/projects-operations/project-detail/P002289,1975-05-20T00:00:00Z,,,,,
Agricultural Research and Extension Project,P004241,East Asia and Pacific,Closed,Malaysia,,https://projects.worldbank.org/en/projects-operations/project-detail/P004241,1975-05-13T00:00:00Z,,,,,
Agricultural Research and Extension Project,P003742,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P003742,1975-05-13T00:00:00Z,,,,,
Integrated Rural Development (PIDER) Project,P007535,Latin America and Caribbean,Closed,United Mexican States,,https://projects.worldbank.org/en/projects-operations/project-detail/P007535,1975-05-08T00:00:00Z,,,,,
Agricultural Rehabilitation Project,P006598,Latin America and Caribbean,Closed,Republic of Chile,,https://projects.worldbank.org/en/projects-operations/project-detail/P006598,1975-05-08T00:00:00Z,,,,,
Irrigation Project (07) Bajo Rio Bravo and Rio San Juan,P007536,Latin America and Caribbean,Closed,United Mexican States,,https://projects.worldbank.org/en/projects-operations/project-detail/P007536,1975-05-08T00:00:00Z,,,,,
Souss Groundwater Irrigation Project,P005370,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P005370,1975-05-06T00:00:00Z,,,,,
Southern Upland Rural Development Project,P005759,Middle East and North Africa,Closed,Republic of Yemen,,https://projects.worldbank.org/en/projects-operations/project-detail/P005759,1975-05-06T00:00:00Z,,,,,
Debi Lampsar Engineering Project,P002290,Western and Central Africa,Closed,Republic of Senegal,,https://projects.worldbank.org/en/projects-operations/project-detail/P002290,1975-04-29T00:00:00Z,,,,,
Integrated Agricultural Development Project (02),P002392,Western and Central Africa,Closed,Republic of Sierra Leone,,https://projects.worldbank.org/en/projects-operations/project-detail/P002392,1975-04-29T00:00:00Z,,,,,
West Bengal Agricultural Development Project,P009696,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009696,1975-04-22T00:00:00Z,,,,,
Barisal Irrigation Project,P009368,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P009368,1975-04-22T00:00:00Z,,,,,
Agricultural Refinance Corporation Credit Project,P009689,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009689,1975-04-15T00:00:00Z,,,,,
Livestock Project (02),P037493,Europe and Central Asia,Closed,Kingdom of Spain,,https://projects.worldbank.org/en/projects-operations/project-detail/P037493,1975-04-15T00:00:00Z,,,,,
Agriculture Credit Project (02),P009307,South Asia,Closed,Islamic  Republic of Afghanistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P009307,1975-04-15T00:00:00Z,,,,,
Mindoro Rural Development Project,P004431,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004431,1975-04-08T00:00:00Z,,,,,
Irrigation Project (06),P003741,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P003741,1975-04-01T00:00:00Z,,,,,
Group Farms Rehabilitation Project,P001243,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P001243,1975-03-11T00:00:00Z,,,,,
Oil Palm Project (01),P000846,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P000846,1975-02-18T00:00:00Z,,,,,
Godavari Barrage Project,P009693,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009693,1975-02-11T00:00:00Z,,,,,
Livestock Project (01),P001693,Western and Central Africa,Closed,Republic of Mali,,https://projects.worldbank.org/en/projects-operations/project-detail/P001693,1975-02-11T00:00:00Z,,,,,
Sadova Corobia Agricultural Credit Project,P008692,Europe and Central Asia,Closed,Romania,,https://projects.worldbank.org/en/projects-operations/project-detail/P008692,1975-01-28T00:00:00Z,,,,,
Giurgin Razmiresti Irrigation Project,P008693,Europe and Central Asia,Closed,Romania,,https://projects.worldbank.org/en/projects-operations/project-detail/P008693,1975-01-28T00:00:00Z,,,,,
FISHERIES SUPPLEMENT,P005850,Middle East and North Africa,Closed,Republic of Yemen,,https://projects.worldbank.org/en/projects-operations/project-detail/P005850,1975-01-20T00:00:00Z,,,,,
Cotton Areas Rural Development Project,P001106,Western and Central Africa,Closed,Republic of Cote d'Ivoire,,https://projects.worldbank.org/en/projects-operations/project-detail/P001106,1975-01-14T00:00:00Z,,,,,
Livestock Project (01),P002028,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002028,1974-12-19T00:00:00Z,,,,,
Irrigation Rehabilitation Project,P005616,Middle East and North Africa,Closed,Republic of Tunisia,,https://projects.worldbank.org/en/projects-operations/project-detail/P005616,1974-12-19T00:00:00Z,,,,,
Funtua Agricultural Development Project,P002025,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002025,1974-12-19T00:00:00Z,,,,,
Rice Project,P002027,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002027,1974-12-19T00:00:00Z,,,,,
Gombe Agricultural Development Project,P002026,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002026,1974-12-19T00:00:00Z,,,,,
Gusau Agricultural Development Project,P002024,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002024,1974-12-19T00:00:00Z,,,,,
Tarlac Irrigation Project,P004432,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004432,1974-12-17T00:00:00Z,,,,,
Mangoro Forestry Project (01),P001478,Eastern and Southern Africa,Closed,Republic of Madagascar,,https://projects.worldbank.org/en/projects-operations/project-detail/P001478,1974-12-17T00:00:00Z,,,,,
Cocoa Project (02),P001107,Western and Central Africa,Closed,Republic of Cote d'Ivoire,,https://projects.worldbank.org/en/projects-operations/project-detail/P001107,1974-12-10T00:00:00Z,,,,,
Drought Prone Areas Project,P009692,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009692,1974-12-05T00:00:00Z,,,,,
Dairy Development Project - Madhya Pradesh,P009694,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009694,1974-12-05T00:00:00Z,,,,,
Dairy Development Project - Rajasthan,P009695,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009695,1974-12-05T00:00:00Z,,,,,
